,negative,positive,total
aa,1,1,2
aaa,1,0,1
aaaaaaaaa,0,1,1
aaaah,1,0,1
aaaahh,1,0,1
aalayah,1,0,1
aand,1,0,1
aaron,3,3,6
aarp,1,0,1
aasertions,1,0,1
ab,4,1,5
ababzhah,1,0,1
aback,1,0,1
abandon,3,0,3
abbott,1,2,3
abc,0,3,3
abducted,0,1,1
abetting,1,0,1
abhorrent,0,3,3
abhorres,0,1,1
abi,1,0,1
abide,0,1,1
abiding,11,11,22
ability,7,3,10
abject,1,1,2
able,38,16,54
abnormal,0,1,1
aboard,3,0,3
aboilish,0,1,1
abolish,2,2,4
abolition,1,0,1
abominable,1,0,1
abomination,0,1,1
aborting,1,2,3
abortion,22,15,37
abortions,3,3,6
abortive,0,1,1
aborts,1,0,1
abound,1,0,1
about,642,372,1014
above,12,14,26
abraham,1,0,1
abramoff,0,1,1
abroad,0,1,1
abs,0,1,1
absence,0,1,1
absent,1,0,1
absentee,2,0,2
abso,0,2,2
absolute,8,6,14
absolutely,43,27,70
absolutist,1,0,1
abstinence,0,1,1
absurd,4,1,5
abt,6,1,7
abundance,0,1,1
abundantly,1,0,1
abuse,17,20,37
abused,7,7,14
abuser,5,4,9
abusers,2,3,5
abuses,1,0,1
abusing,1,1,2
abusive,1,6,7
abusuve,0,1,1
abysmal,4,1,5
abyss,0,1,1
ac,1,0,1
aca,4,1,5
academia,1,0,1
academic,2,0,2
academy,1,0,1
acc,0,2,2
accent,1,0,1
accept,15,11,26
acceptable,4,5,9
acceptance,1,0,1
accepted,3,0,3
accepting,6,1,7
accepts,0,1,1
access,7,10,17
accessories,0,1,1
accessory,0,1,1
accident,2,5,7
accidental,0,1,1
accidentally,2,0,2
accidents,2,0,2
accommodate,1,0,1
accommodating,1,0,1
accompanied,1,0,1
accompanies,1,0,1
accomplish,3,0,3
accomplished,8,1,9
accomplishment,1,1,2
accomplishments,2,3,5
accord,1,0,1
according,13,8,21
accordingly,3,2,5
account,39,6,45
accountability,2,2,4
accountable,10,9,19
accounts,15,5,20
acct,0,2,2
accuracy,2,0,2
accurate,2,2,4
accurately,0,1,1
accusation,11,9,20
accusations,15,10,25
accuse,9,6,15
accused,18,7,25
accuser,34,6,40
accusers,7,3,10
accuses,3,2,5
accusing,10,6,16
ace,1,0,1
acedemia,1,0,1
aces,1,0,1
aches,2,0,2
achichincle,0,1,1
achieve,8,0,8
achieved,1,0,1
achievement,1,0,1
achievements,4,0,4
achieving,2,0,2
achtung,1,0,1
ack,0,1,1
acknowledge,5,3,8
acknowledged,2,0,2
acknowledges,0,1,1
acknowledging,0,1,1
aclu,1,1,2
acorn,0,1,1
acorns,0,1,1
acosta,0,1,1
acquainted,1,0,1
acquiring,1,1,2
acrimony,1,0,1
across,18,3,21
act,32,24,56
acta,0,1,1
actaully,1,0,1
acted,1,4,5
acting,11,13,24
action,20,4,24
actions,26,12,38
activates,1,0,1
active,11,7,18
actively,4,2,6
activism,2,0,2
activist,14,8,22
activists,14,6,20
activities,3,1,4
activity,3,0,3
actor,6,6,12
actors,10,1,11
actress,7,1,8
acts,13,2,15
actual,19,11,30
actuality,0,1,1
actually,104,45,149
actualy,1,0,1
actully,0,1,1
acussed,0,1,1
ad,8,4,12
adam,2,2,4
adams,2,0,2
add,17,4,21
added,4,4,8
addict,2,2,4
addicted,1,3,4
addiction,2,3,5
addicts,0,1,1
adding,3,1,4
addition,4,0,4
additional,1,0,1
address,14,6,20
addressed,0,1,1
addresses,4,0,4
addressing,1,2,3
adds,3,1,4
adearfriendnjust,1,0,1
adelaide,1,0,1
adequately,1,0,1
adherance,1,0,1
adhere,2,1,3
adhered,1,0,1
adicionei,1,0,1
adjust,1,0,1
adjustment,1,0,1
adm,1,0,1
admendment,0,1,1
admin,2,2,4
administer,0,1,1
administration,15,12,27
administrative,1,0,1
admins,1,1,2
adminstrator,0,1,1
admirable,0,1,1
admiration,0,1,1
admire,5,1,6
admired,1,0,1
admissible,2,0,2
admission,1,0,1
admit,14,12,26
admits,1,1,2
admitted,7,2,9
admitting,5,2,7
admonish,1,0,1
admonished,1,0,1
admonishment,1,0,1
adolf,1,0,1
adopt,6,0,6
adopted,2,0,2
adopting,2,0,2
adoption,1,0,1
adoptive,1,0,1
adorable,20,1,21
adorably,1,0,1
adore,2,0,2
adrift,1,0,1
ads,3,1,4
adult,7,4,11
adulterers,0,1,1
adulting,0,1,1
adults,11,4,15
advance,5,1,6
advanced,1,0,1
advancements,1,0,1
advances,1,0,1
advantage,3,5,8
advantages,2,0,2
adventures,0,1,1
adversaries,0,1,1
advertise,0,1,1
advertisement,0,1,1
advertisers,1,0,1
advertises,1,0,1
advertising,1,0,1
advice,8,1,9
advise,3,0,3
advised,2,0,2
advisement,1,0,1
adviser,2,0,2
advising,1,0,1
advisors,0,1,1
advisory,2,0,2
advocacy,2,0,2
advocate,8,4,12
advocated,1,0,1
advocates,7,3,10
advocating,5,4,9
ae,1,0,1
aesir,1,0,1
af,3,4,7
afd,2,0,2
afe,0,1,1
affair,3,1,4
affairs,1,1,2
affect,3,1,4
affected,3,2,5
affecting,1,0,1
affection,0,1,1
affectionate,1,0,1
affects,3,4,7
affiliate,1,0,1
affiliated,2,0,2
affiliation,1,0,1
affirm,1,0,1
affirmative,1,0,1
affluent,1,1,2
afford,5,2,7
