id,text,target
86426,she should ask few native americans what their take on this is,0.0
90194,go home you re drunk,1.0
62688,someone should vetaken this piece of shit to volcano,0.0
97670,liberals are all kookoo,1.0
77444,oh noes tough shit,0.0
52415,was literally just talking about this lol all mass shootings like that have been set ups it propaganda used to divide us on major issues like gun control and terrorism,1.0
13384,canada doesn need another cuck we already have enough king up our great country,1.0
28414,you are lying corrupt traitor nobody wants to hear anymore of your lies,1.0
28195,gun control that is all these kids are asking for,1.0
56117,lol throwing the bullshit flag on such nonsense,1.0
12681,kind of like when conservatives wanna associate everyone to their left as communist antifa members,1.0
82904,da fuck is going on people there the men room and the women room pick one and stick it,1.0
77665,tbh these days just do not like people in general just do not connect with people these days just annoyance,1.0
25440,she to whom are you referring to hillary you know what is tiresome bernie supporters bashing hillary clinton she is an actual democrat who raises money for the democratic party and doesn bash them she has positive message so who is dividing the left,0.0
12609,the only thing the democrats have is lying and stalling to stop trump from being what have they done for you lately,1.0
12108,you are not very smart are you why do you think gen flynn sentencing keeps being rescheduled,1.0
14726,that expected if you placate the violent leftists terrorists,1.0
84102,out of british people are basically full on racists out of voters vote for the conservatives coincidence,1.0
98992,fuck off,1.0
33853,the prison system is so fucked why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane they did this in louisiana and like inmates went missing,1.0
75215,she is useless attempts to do the right thing but never follows through,1.0
57013,grateful trump doesn have dog in the white house he is cruel man,1.0
74831,trump kicks dem butt its so fun,1.0
53264,he is dumb and dumber all in one president it two for one,1.0
84664,and this from the clown that should be in prison,1.0
48995,thats because you are an old man,1.0
47153,they are obstructionists anti american pharisees ask them what they are running on and you get nothing maga,1.0
64429,mean it worked for gun control right,1.0
45068,she is drinking so much koolaid she bloated,1.0
84667,the institution only let her tweet when she behaves she is window licker,1.0
93119,wtc this is threat,1.0
21379,please call trump out for what he is narcissistic sociopath,1.0
52252,fuck em,1.0
91001,good move he is the big loser,1.0
66349,it literally narrative that is on par with nazis punch antifa punch they are two sides of the same coin noooooooo one of these groups wants to exterminate or deport all poc and jews the other just wants to prevent them from doing that and this comparison benefits fash,0.0
80561,there are many dumb arguments for gun control but this may be the dumbest and most common,1.0
39907,please do not kill me antifa on the other hand,1.0
77294,she is an ugly black hearted troll,1.0
16940,dont believe the hype,0.0
28841,we have been saved from you maga,1.0
59998,you can probably imagine all the sjw snowflakes that do not feel safe working where there might be conservatives lurking in the shadows conservatives are now the ruskies of the st century,1.0
28812,this all get damn these haters deleting you ig for no reason,1.0
64776,sjshsj thats my job bitch,1.0
69972,what part of no collusion do not you get this is why you are dumocrat,1.0
96789,if the reason for farakans illegal values are because he is black or muslim that would be reason to detest him believe his illegal values are simply result of bad character like his supporters,1.0
68629,let the leftist democrats riot in the streets with their antifa counterparts,1.0
77319,antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached,1.0
49504,so has the law changed you just make an allegation now days and your guilty until proven innocent liberals are mentally ill,1.0
31229,this game sucks donkey balls,1.0
88546,absolutely should be nail in the coffin for hilliary,1.0
32897,he is dumbass,1.0
62072,and wanting gun control how many of us wonder why the heck do they want our freedoms taken away or is it just selective freedoms,1.0
95444,at this point in time do not think pres trump gives sh and neither do lol,1.0
62481,donnie jr you and your family owe the country an apology for taking your criminal activities into our white house you are lining your pockets while your father is unfit and making mockery of our republic shame on you and your family justice will prevail,1.0
39021,oh my carmen he is so fricking cute,1.0
68840,chelsea is as crazy as her mother,1.0
32916,and the brainless wants us to believe that he does not have the majority liberals is just like their leaders the corrupts and both are real bad losers,1.0
18547,california gun control is direct result of white people scared of black panthers using their right to bear arms nra had no problem with that gun control,1.0
82607,and yet millions of permit holding people carried legally concealed firearms that same day and didn hurt themselves or anyone else but yet they want to have stronger gun control idiots our wonderful media has to hype incidents that fits their agenda,1.0
82339,yes do hurt your selves gun control freaks,1.0
34510,bullshit regulations are good because it keeps conservatives from striping our land into the abyss,1.0
53501,the owner of my culo,1.0
69928,now she scarred herself for life lol,1.0
31853,you fucking,1.0
13872,confirm the man the left wing activist is liar who story changes no hard evidence innocent until proven guilty,1.0
28985,assuming not going to get an answer brainless stooge ocasio cortez on policy plan this is not america future vote republican or surrender america to these morons,1.0
74004,leftists showing yet again how vile they can be,1.0
70838,he is drunk crazy man,1.0
15991,all that money had not made smarter,1.0
38837,yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown,0.0
16885,by the way why don you move to haiti you liberals seem to make shit holes out of large cities so go somewhere where it already shit hole so you don have to do any work,1.0
19514,should not pussy grabbing be the one wearing the gloves while handling food,1.0
34317,antifa does not beat facsists to try to get them to change their mind they know it lost cause to try to change fascist mind they do it to scare them into hiding to demoralize them and to stop the spread of their hateful ideology there is no forcing views on others,1.0
36289,he is cut from the same cloth as all other conservatives his misogyny and bigotry are always on display he is responsible for trump,1.0
80570,truly has got to be the most idiotic thing ve ever seen,0.0
86477,it does work if you want to control population australian gun control had no effect on homicides,1.0
44015,liberals ruin everything,1.0
11411,that what happens when you let liberal get hold of gun that would be good place to start gun control ban liberals from getting guns,1.0
10133,you look happy maga,1.0
29497,yet she is fat herself,1.0
97300,what joke she is gem alright she is racist phony right along with this racist phony that thinks she will follow me from her second account and block me because speak the truth could care less about follower like it big party care that they discriminate,1.0
14808,may be you have forgotten that at the moment we are eu citizens and so all rights afforded to us are the same as for other eu citizens don believe all the shit that goes on in your head,1.0
33322,just looked up his work history he is listed on the board of leading age services aust lasa and comes from medicare local alliance what ever the hell that is,0.0
87300,cause who bitches be playing with god aint give me the gift for nothing,1.0
80497,coming from the man that threatened to try and kick turmps ass now do not that take set of ball,1.0
97277,getting scared ugly man,1.0
95200,bitch,0.0
77769,amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests,1.0
62107,yea your the bitch on the right getting smacked,0.0
33096,hahaha big thighs is not going to make it,1.0
81470,had this to say about bill clinton during whitewater it imperative to make his pattern of revolting behavior clear piece by painful piece indeed,1.0
20322,people are very low iq gdp growth means literally nothing in no way does this translate to higher income for white familes or individuals all that billions goes to companies or government and what jobs did he create labour which pays less than living wage lmao,1.0
60130,bro go watch how he hold his backwood in the interview like that shit was irritating lmao nigga is mad suspicious,1.0
54559,bitch built like that could beat my ass all she wants,1.0
14285,very pathetic man,1.0
42133,you must be talking about hateful conservatives,1.0
18834,thats correct,1.0
38043,this leftist is what is wrong in liberal colleges more ppl and students will come out and will unmask this corrupt woman who is determined to destroy good judge because she wants only liberals in the courts,1.0
76709,this is great mark the great one levin and candace the great owens together this team is unbeatable they just sent liberals into frenzy again whole block of liberal voters just had their heads explode and sadly alyssa milano just wet her pants again great team,1.0
22728,tdavis touring the application of and techniques to speed of,1.0
11640,was not proposing scare tactics really meant what said trump can easily pull the good maga republicans and can easily steal enough votes from gop dem and independents and will bring fresh breath to our rotten politics think about it,1.0
47009,only liberal would support liberal that spent million to get liberals elected to office,1.0
97936,it so weirdly vicious and bitter to extrapolate from everyone should have access to decent healthcare to liberals think all criminals should be free it reveals pretty brutalist and impenetrable mind,1.0
12531,what the fuck game are you watching,0.0
72024,why why are liberals so trashy,1.0
98547,yes saw this and will say tapper kept basket her and she kept coming back with stupid answers and he finally gave up don think he is big fan of her policies he not that stupid please,1.0
98382,if you go by anything other than he or she you are fucked in the head,1.0
71577,all you need to know is he is empty inside,1.0
17391,the liberals are mentally unstable,1.0
34443,who authorized search warrant of mr jean home racist what about her drug test this is premediated murder he will not be slandered he is the victim,1.0
22185,have heard he is making waves,1.0
77089,fuck liberals forever,1.0
79972,once again it been proven that all gun control laws are intended to disarm the law abiding citizens and subvert the criminal do not care about gun laws,1.0
30085,mxm nigger thinks we give fuck,1.0
95773,she is fake vote her out now she wants sympathy,1.0
51053,kids from different women from this american jobless men nigerian men you are the bomb,1.0
14131,this russian agent is disgrace hey old creep you are going to die in prison you and trump sold america to the russians and it time you do the time for your years of crimes scumbag,1.0
33709,what insanely ridiculous bullshit,0.0
53995,we shouldn be surprised these same pigs worked with neonazis to unmask antifa protestors and the local coverage by shit journos like didn cover that at all we had to rely on for investigative coverage,1.0
82171,because of americans are too lazy to vote non voters skew liberal and too many liberals who do vote throw their vote away on rd party losers next question,1.0
