id,text,target
86426,she should ask few native americans what their take on this is,1
90194,go home you re drunk,1
16820,amazon is investigating chinese employees who are selling internal data to third party sellers looking for an edge in the competitive marketplace,0
62688,someone should vetaken this piece of shit to volcano,1
43605,obama wanted liberals amp illegals to move into red states,0
97670,liberals are all kookoo,1
77444,oh noes tough shit,1
52415,was literally just talking about this lol all mass shootings like that have been set ups it propaganda used to divide us on major issues like gun control and terrorism,1
45157,buy more icecream,0
13384,canada doesn need another cuck we already have enough king up our great country,1
82776,it not my fault you support gun control,0
42992,what the difference between and one of these men admitted to groping year old girl years ago the other is going to be to the scj,0
28414,you are lying corrupt traitor nobody wants to hear anymore of your lies,1
54920,it should scare every american she is playing hockey with warped puck,0
56392,like my soda like like my boarders with lot of ice,0
86735,you are also the king of taste,0
95686,sing like no one is listening love like you ve never been hurt vote gop when no one is watching and do not listen to liberals dirt,0
71446,the time is right for this house to respond to the concerns of all canadians four out of five canadians support stronger gun control and with good reason,0
23958,besides jax mom and maybe ope he is hands down my favorite he like the only good person on the show,0
28195,gun control that is all these kids are asking for,1
56117,lol throwing the bullshit flag on such nonsense,1
67757,you are correct,0
12681,kind of like when conservatives wanna associate everyone to their left as communist antifa members,1
82904,da fuck is going on people there the men room and the women room pick one and stick it,1
63236,been willie fan since before most of you were born love that he is holding rally with beto exactly which fans are furious could you give some specifics,0
77665,tbh these days just do not like people in general just do not connect with people these days just annoyance,1
83484,south korean official leaders will discuss specific denuke measures in pyongyang,0
74932,you can tell he is hooper too,0
91252,feel like he is better chasing the title,0
25440,she to whom are you referring to hillary you know what is tiresome bernie supporters bashing hillary clinton she is an actual democrat who raises money for the democratic party and doesn bash them she has positive message so who is dividing the left,1
81613,glad to see your friends are supporting metis rights as much as you are supporting zionists,0
82333,yes you are but was asking what is it about the movie,0
12609,the only thing the democrats have is lying and stalling to stop trump from being what have they done for you lately,1
13017,no wonder he is being apologetic and more social these day,0
18129,any updates re ending your blatant as amp proves you are,0
70380,do you know what going to happen now going to have to lay in bed and cry while listen to kelly clarkson thanks free speech antifa,0
