,negative,positive,total
05,0,1,1
07405077156,1,0,1
09,0,1,1
10,2,13,15
100,1,19,20
1000,1,0,1
100000,0,1,1
1001,0,1,1
100s,0,1,1
100thmonkey,0,1,1
101,1,1,2
10am,0,1,1
10kg,1,0,1
10kids,0,1,1
11,0,2,2
110,1,0,1
11k,0,1,1
11th,1,2,3
11yrs,0,1,1
12,0,3,3
13,1,5,6
14,0,2,2
14th,0,1,1
15,2,8,10
150,0,1,1
155,0,1,1
15s,0,1,1
16,0,7,7
160,0,1,1
17,1,6,7
170,0,1,1
1700,0,1,1
1776,0,1,1
18,2,5,7
1828,0,1,1
19,0,1,1
1921,0,1,1
1942,0,1,1
1945,0,1,1
1955,0,1,1
1960,0,1,1
1968,0,1,1
1969,0,1,1
1975,0,1,1
1980,1,1,2
1982,1,0,1
1986,0,1,1
1989,0,1,1
1990s,0,1,1
1991,1,1,2
1996,0,1,1
1997,1,0,1
1a,0,2,2
1b,0,2,2
1linewed,0,1,1
1s,0,1,1
1st,0,5,5
1stbirthday,0,1,1
20,0,14,14
200,1,2,3
2000,0,1,1
2000s,1,0,1
2002,0,1,1
2008,0,2,2
200k,0,1,1
2012,0,1,1
2013,1,0,1
2014,0,1,1
2016,0,4,4
2017,0,1,1
2018,1,4,5
2019,0,4,4
2020,0,16,16
2050,0,1,1
20x,0,1,1
21,1,2,3
215,0,1,1
21st,0,1,1
223,0,1,1
23,0,1,1
231,0,1,1
2383,0,1,1
24,0,7,7
250,0,1,1
25th,0,2,2
26,1,1,2
27,0,2,2
29,0,2,2
299,0,1,1
2a,1,14,15
2adefenders,0,1,1
2destroy,0,1,1
2felons,1,0,1
2nd,3,8,11
2sec,1,0,1
30,1,6,7
300,0,1,1
3000,0,3,3
302,0,1,1
30pieces,0,1,1
33,2,0,2
34,0,1,1
35,1,5,6
357,0,1,1
36,1,3,4
365,0,1,1
37,0,1,1
3900,0,1,1
3rd,1,5,6
40,1,6,7
401k,1,0,1
40s,0,1,1
40t,0,1,1
41,0,1,1
44,0,3,3
45,2,4,6
45m,0,1,1
46,1,0,1
47,0,1,1
48,0,3,3
499,1,0,1
49ers,0,2,2
4chan,0,1,1
4th,0,2,2
4threichnwo,1,0,1
50,1,2,3
500,0,3,3
5000,0,1,1
50n,1,0,1
53,0,2,2
54,0,1,1
55,0,1,1
5children,0,1,1
5th,0,5,5
60,0,3,3
62,0,1,1
63,0,1,1
65,1,1,2
67,0,1,1
6al3,0,1,1
6ix9ine,0,1,1
6kg,1,0,1
70,2,1,3
700,0,1,1
70s,0,1,1
74,0,1,1
75,0,3,3
79,1,0,1
7k,1,0,1
80,0,3,3
80s,2,0,2
8yrsof,0,1,1
90,2,3,5
900,1,0,1
90s,2,5,7
911,0,1,1
92,0,1,1
930,0,1,1
94million,0,1,1
97,1,1,2
99,0,2,2
9mm,0,2,2
9on,0,1,1
____,0,1,1
a_,0,1,1
aa,0,1,1
aaaaaaaaa,0,1,1
aaron,0,3,3
ab,0,1,1
abbott,1,1,2
abc,0,3,3
abducted,1,0,1
abhorrent,1,2,3
abhorres,0,1,1
abide,0,1,1
abiding,1,10,11
ability,0,3,3
abject,0,1,1
able,3,13,16
abnormal,1,0,1
aboilish,0,1,1
abolish,0,2,2
abomination,0,1,1
aborting,2,0,2
abortion,2,14,16
abortions,1,2,3
abortive,0,1,1
about,34,338,372
above,2,12,14
abramoff,0,1,1
abroad,0,1,1
abs,1,0,1
