,text,target
0,she should ask few native americans what their take on this is,1
1,go home you re drunk maga trump,1
2,amazon is investigating chinese employees who are selling internal data to third party sellers looking for an edge in the competitive marketplace amazon maga kag china tcot,0
3,someone should vetaken this piece of shit to volcano,1
4,obama wanted liberals amp illegals to move into red states,0
5,liberals are all kookoo,1
6,oh noes tough shit,1
7,was literally just talking about this lol all mass shootings like that have been set ups it propaganda used to divide us on major issues like gun control and terrorism,1
8,buy more icecream,0
9,canada doesn need another cuck we already have enough looneyleft liberals king up our great country qproofs trudeaumustgo,1
10,it not my fault you support gun control,0
11,what the difference between kavanaugh and one of these men admitted to groping year old girl years ago the other is going to be confirmed to the scj demsarefrauds demsaredone walkawaydemocrats redwave voteredsaveamerica trumptrain maga,0
12,you are lying corrupt traitor nobody wants to hear anymore of your lies deepstatecorruption,1
13,it should scare every american she is playing hockey with warped puck,0
14,like my soda like like my boarders with lot of ice,0
15,you are also the king of taste,0
16,maga sing like no one is listening love like you ve never been hurt vote gop when no one is watching and do not listen to liberals dirt,0
17,the time is right for this house to respond to the concerns of all canadians four out of five canadians support stronger gun control and with good reason guncontrol cdnpoli cdnhist,0
18,besides jax mom and maybe ope he is hands down my favorite he like the only good person on the show,0
19,gun control that is all these kids are asking for,1
20,lol throwing the bullshit flag on such nonsense putuporshutup kavanaugh maga callthevotealready,1
21,you are correct,0
22,kind of like when conservatives wanna associate everyone to their left as communist antifa members,1
23,da fuck is going on people there the men room and the women room pick one and stick it,1
24,been willie fan since before most of you were born love that he is holding rally with beto exactly which fans are furious could you give some specifics,0
25,tbh these days just do not like people in general just do not connect with people these days just annoyance,1
26,south korean official leaders will discuss specific denuke measures in pyongyang tcot maga rednationrising,0
27,you can tell he is hooper too,0
28,feel like he is better chasing the title,0
29,she to whom are you referring to hillary you know what is tiresome bernie supporters bashing hillary clinton she is an actual democrat who raises money for the democratic party and doesn bash them she has positive message so who is dividing the left,1
30,glad to see your friends are supporting metis rights as much as you are supporting zionists,0
31,yes you are but was asking what is it about the movie,0
32,the only thing the democrats have is lying and stalling to stop trump from being president what have they done for you lately trump kavanaugh maga demsuck,1
33,no wonder he is being apologetic and more social these day,0
34,any updates re ending your blatant racism as windrush amp grenfell proves you are alloutpolitics politicslive pmqs,0
35,do you know what going to happen now going to have to lay in bed and cry while listen to kelly clarkson thanks free speech antifa,0
36,you are not very smart are you why do you think gen flynn sentencing keeps being rescheduled,1
37,that expected if you placate the violent leftists terrorists kavanaughconfirmation woke,1
38,blow hard,0
39,that means you are max lvl twitter user and maybe should try new game,0
40,please explain what controlled opposition means as for bernier escaping he split with the rest of the conservatives because he even more racist and exclusionary than they want to be,0
41,socialists politics that stand up for the downtrodden and well done for conflating criticism of israel with anti semitism you are also part of the problem,0
42,nina one of the reasons did not read this book for so long was because was so worried about her character should ve trusted everyone nina is goddamn goddess would die for thousand times over she is big and bold and lovely and perfect her arc is perfect,0
43,please vote no on kavanaugh he is not fit for scotus and allegations about women and shady financials should disqualify him ruleoflaw matters metoo countryoverparty withdrawkavanaugh stopkavanaugh,0
44,ppl who say not racist are racist you are racist repeat after me,0
45,kathy the patriot you have to love our great president trump spine of steel changing it on trade amp everything for americans americafirst usa maga leadership amp respect economy jobs peacethrustrength god bless trump amp theusa,0
46,wow you liberals really don have sense of humor,0
47,so fucking ready,0
48,holy moly if the catholic people have not been awakened by this falseprophet lunatic,0
49,lol yeah per dina he is there everyday per claudia no horse got vet care unless it was for donation example limping etc,0
50,what surprise same as antifa blm and so on and so on soros is americas worst enemy in history he believes the only way to take down the usa is from withing and hes right but it not gunna happen,0
51,me too her wedding was the best she is very pretty,0
52,no conflict here don look at this soros involved in violent left agenda of antifa also,0
53,any of your announcements every come to fruition or is it basically stealing labour ideas to get few more votes,0
54,out of british people are basically full on racists out of voters vote for the conservatives coincidence,1
55,guncontrol advocates must stop falling all over themselves to assure electorate that they too love the horrific,0
56,hi there we love what huge fan of camila mendes you are would it be alright if we used your tweet about her in our promotional material,0
57,fuck off,1
58,certainly weird view toward the margaret sanger geonicidal philosophy of aborting minorities like to know if the black population that suffers the most shares her opinion,0
59,the prison system is so fucked why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane they did this in louisiana and like inmates went missing,1
60,she is useless attempts to do the right thing but never follows through,1
61,walkaway liberals your party is poison,0
62,grateful trump doesn have dog in the white house he is cruel man,1
63,you are lying stick with the facts we pay more than that now,0
64,trump kicks dem butt its so fun,1
65,he is dumb and dumber all in one president it two for one,1
66,toxictory minister attempted to expense charity donation it what do toriesmustgo dissolvetheunion,0
