,negative,positive,total
aa,1,0,1
aaaaaaaaa,1,0,1
aaron,2,0,2
ab,1,0,1
abbott,1,0,1
abc,3,0,3
abhorrent,1,0,1
abhorres,1,0,1
abide,0,0,0
abiding,1,1,2
ability,2,0,2
abject,1,0,1
able,8,0,8
aboilish,0,0,0
abolish,2,0,2
abomination,1,0,1
abortion,7,1,8
abortions,1,0,1
abortive,1,0,1
about,188,36,224
above,6,2,8
abramoff,0,0,0
abroad,1,0,1
abso,0,0,0
absolute,3,1,4
absolutely,13,2,15
abstinence,0,0,0
absurd,0,0,0
abt,0,0,0
abundance,1,0,1
abuse,4,3,7
abused,4,1,5
abuser,4,0,4
abusers,0,0,0
abusing,0,0,0
abusive,3,0,3
abusuve,0,0,0
abysmal,1,0,1
abyss,0,0,0
aca,0,0,0
acc,1,0,1
accept,6,0,6
acceptable,2,0,2
accepting,1,0,1
accepts,1,0,1
access,2,3,5
accessories,1,0,1
accessory,1,0,1
accident,0,1,1
accomplishment,0,1,1
accomplishments,1,0,1
according,4,0,4
accordingly,1,1,2
account,4,1,5
accountability,1,1,2
accountable,3,4,7
accounts,1,1,2
acct,1,0,1
accurate,0,0,0
accurately,0,0,0
accusation,5,0,5
accusations,7,0,7
accuse,4,0,4
accused,1,0,1
accuser,5,0,5
accusers,1,0,1
accuses,2,0,2
accusing,2,0,2
achichincle,1,0,1
ack,0,0,0
acknowledge,1,2,3
acknowledging,1,0,1
aclu,0,0,0
acorn,1,0,1
acorns,1,0,1
acosta,1,0,1
across,0,1,1
act,8,6,14
acta,1,0,1
acted,2,0,2
acting,8,0,8
action,3,1,4
actions,4,1,5
active,3,0,3
actively,1,0,1
activist,6,0,6
activists,1,1,2
activities,1,0,1
actor,5,1,6
acts,0,0,0
actual,8,0,8
actuality,1,0,1
actually,22,6,28
acussed,0,0,0
ad,0,0,0
adam,1,0,1
add,0,0,0
added,2,0,2
addict,2,0,2
addicted,0,0,0
addiction,1,0,1
addicts,1,0,1
adding,1,0,1
address,2,0,2
addressed,1,0,1
addressing,1,1,2
adds,0,0,0
adhere,0,0,0
admendment,0,0,0
admin,2,0,2
administer,0,1,1
administration,7,1,8
admins,0,0,0
adminstrator,1,0,1
admiration,1,0,1
admire,1,0,1
admit,5,4,9
admits,1,0,1
admitted,2,0,2
admitting,0,0,0
adorable,1,0,1
adult,1,0,1
adulterers,0,0,0
adulting,0,0,0
adults,2,0,2
advance,1,0,1
advantage,1,0,1
adventures,1,0,1
adversaries,0,0,0
advertise,0,1,1
advertisement,1,0,1
advice,0,0,0
advisors,1,0,1
advocate,3,0,3
advocates,2,0,2
advocating,2,0,2
af,2,0,2
afe,0,1,1
affair,1,0,1
affairs,1,0,1
affected,1,0,1
affection,1,0,1
affects,0,1,1
affluent,1,0,1
afford,0,1,1
affordable,1,0,1
afforded,0,0,0
afraid,4,2,6
africa,1,0,1
african,1,0,1
africans,0,0,0
after,40,6,46
aftermath,0,0,0
ag,3,0,3
again,42,8,50
against,40,9,49
againtske,0,0,0
age,5,1,6
agencies,2,0,2
agency,2,0,2
agenda,10,1,11
agendas,1,0,1
agent,2,0,2
agents,3,0,3
aggrandizing,0,0,0
aggravate,0,0,0
aggression,0,0,0
aggressive,1,0,1
agholor,1,0,1
agitated,1,0,1
ago,13,5,18
agree,16,0,16
agreed,2,1,3
agreeds,0,0,0
agreeing,1,0,1
agrees,0,0,0
ah,2,0,2
ahead,4,1,5
ahh,0,0,0
ahhooo,1,0,1
ahole,0,0,0
aid,1,1,2
aiding,1,0,1
aikido,1,0,1
aimed,1,0,1
aiming,0,0,0
ain,4,4,8
aint,2,0,2
air,3,0,3
airforce,0,1,1
aishwarya,1,0,1
ajsjjsjdkkdjdk,0,0,0
aka,2,1,3
al,5,0,5
alamo,2,0,2
alan,1,0,1
alana,1,0,1
alaye,0,1,1
albeit,0,0,0
albert,1,0,1
album,5,0,5
alcohol,1,0,1
alcoholic,1,0,1
alec,1,0,1
alert,1,1,2
alex,2,0,2
algae,1,0,1
alia,2,0,2
alienated,1,0,1
aliens,0,1,1
align,0,1,1
aligned,1,0,1
alike,1,0,1
alinsky,1,0,1
alive,2,2,4
all,215,42,257
allegation,1,0,1
allegations,4,1,5
alleged,2,2,4
alleslve,1,0,1
allies,1,0,1
alligators,1,0,1
alll,1,0,1
allow,4,6,10
allowed,7,1,8
allows,0,1,1
allready,0,1,1
allsup,0,0,0
ally,1,0,1
almost,11,1,12
alone,7,1,8
along,8,2,10
alot,1,1,2
alphabet,0,0,0
already,22,3,25
alright,2,0,2
also,47,5,52
alt,4,1,5
alterando,1,0,1
alternative,3,1,4
altho,1,0,1
although,3,0,3
alumn,1,0,1
alumni,0,0,0
always,29,1,30
alyssa,1,0,1
alzheimers,1,0,1
am,30,5,35
amai,2,0,2
amazing,8,3,11
amazingly,1,0,1
amazon,2,0,2
ambition,0,0,0
ambitious,1,0,1
ambrose,0,0,0
ambulance,1,0,1
ambush,0,0,0
amd,0,0,0
ameican,1,0,1
amenadiel,1,0,1
amendment,3,1,4
america,26,13,39
american,17,11,28
americans,12,17,29
amid,1,0,1
amiright,0,0,0
ammo,0,2,2
amnesia,2,0,2
amo,1,0,1
among,3,0,3
amongst,1,0,1
amorality,1,0,1
amount,3,0,3
amounting,1,0,1
amp,124,26,150
amrinder,1,0,1
amusing,1,0,1
amy,1,0,1
an,178,18,196
analysis,0,0,0
anarchist,0,0,0
anarchists,2,0,2
anatomy,1,0,1
anc,1,0,1
ancaps,0,0,0
ancestors,0,2,2
ancient,2,1,3
and,957,184,1141
anderson,2,0,2
andrea,1,0,1
andreas,1,0,1
andrew,1,0,1
andy,1,0,1
angela,1,0,1
angelina,0,0,0
anger,1,1,2
angry,4,2,6
animal,5,0,5
animals,1,1,2
animated,0,1,1
anime,1,0,1
anita,2,0,2
anne,0,0,0
annette,0,0,0
announced,2,0,2
annoyance,1,0,1
annoying,3,1,4
annual,1,0,1
anonymity,1,0,1
anonymous,4,0,4
another,51,6,57
answer,8,1,9
answering,0,0,0
answers,1,1,2
ant,1,0,1
anti,23,7,30
antichrist,0,1,1
antics,0,0,0
antidepressant,1,0,1
antifa,119,33,152
antonio,1,0,1
anumanu,1,0,1
anxiety,1,0,1
any,53,14,67
anybody,3,1,4
anymore,6,2,8
anyone,38,9,47
anything,33,7,40
anyway,6,1,7
anyways,3,0,3
anywhere,3,0,3
apart,4,0,4
apartaments,1,0,1
apartheid,0,1,1
apartment,0,1,1
apiece,1,0,1
apists,0,0,0
apocalypse,0,0,0
apologize,3,0,3
apologized,2,0,2
apologizing,2,0,2
apology,4,1,5
apon,1,0,1
app,1,0,1
appalling,1,0,1
apparantly,0,0,0
apparent,2,0,2
apparently,4,4,8
appeal,1,0,1
appealed,0,0,0
appear,1,0,1
appeared,1,0,1
