id,text,subc
46191,user user how does that make him the best in the country though there was nothing special about the throw how does that make me butt hurt,2
81896,user know whole lotta people spitting whole lot of bullshit right now idk if youll ever see this but pray you feel no way responsible for what happened today you have already been through so damn much just know that you are good you are great love you,2
25291,user see it damn shame how delusional he is he gotta be the worst even more than those boston ben stans,2
38487,user is it gun control or anti haven seen single ad attacking that just user rhetoric to create fear,2
27483,user user user could be either liberals like this have no shame and will do anything suspect it is the latter,2
81793,user user user that does not change the fact that muslim linda sarsour deliberately sows hate and division she is fraud who pretends to support women rights does she protest islam discrimination of women no,2
81405,user he also said he had gatlin gun and niggas that sit on the corner like boxers between rounds,2
80099,user xd well the suffering she goes through and all the terrible shit she sees ends up making her pretty insane think you already seen that from certain things posted xd but hey at least she only insane to bad guys,2
86753,user user user user you are two nutcases obviously,2
44383,user democrats have not done anything but cover up so all you think you have solution ya do not you want gun control how about abortion control free medical free ed quit tripping,2
71272,user poor baby this is why you and your entire network can not be trusted the only people still watching cnn are brainwashed liberals and demonrats,2
67127,user user this soros guy needs to be investigated he been kicked out of other nations amp here his name keeps coming up with all these anti american groups finances antifa pays folks to act crazy at trump events know he is against our sovereignty he hates our constitutional rights,2
63524,user user user user user user user this women is vile example of the far left lunacy she is using the alinsky rules for radicals handbook no matter what have to do lie steal use violence etc must destroy the conservatives they lack character amp have no moral code,2
86920,user user user user fascists amp nazis do not abide by patriotic views shared in their presence glad the brownshirt arm antifa of the left was not there to inflict the usual violence vs citizens who dare to speak do you hear that dems who enjoy wings beer country music you re less than,2
73710,user user liberals don realize that thousands of unaccompanied minors were thrown across the border who is supposed to take care of them angelina jolie,2
36200,user just censored the user merchandise really zazzle meanwhile communism and antifa merch are allowed on your site the constitution of the usa means nothing to you well done user time to take our merch elsewhere,2
87056,user user no they aren they have all said she could speak in or out of the public amp she should be heard stop spreading lies of course liberals think should just ruin his life with no evidence,2
36424,user niggas say anything,2
63657,user these cowards ain ready,2
84236,dear liberal this gesture you call white power gesture is actually what we normal people call the ok gesture realize this is not as fun as your make believe white power name but yeah that what it means ok ok,2
60140,user user fair point but didnt make the meme and couldnt take the big gov sucks off of it and besudes meddling in many counties politics and economics he funds antifa black lives matter to try and divide we the people to try and tear the country apart,2
78431,user user user user user obama never laments for those that are killed in chicago every week chicago his old stomping ground ask him how those draconian gun control laws are working there and watch him blame indiana,2
77001,their programs called for the nationalization of education health care transportation and other major industries they instituted and vigorously enforced strict gun control regimen they encouraged pornography illegitimacy and abortion,2
92371,user user user new gun control laws are waste of time amp energy which is better spent holding these worthless politicians accountable for their refusal to enforce current laws why create more laws they will never enforce,2
58418,user user rbg next can wait the hateful intolerant racists on the left will not win rbg next maga,2
47922,user bad gun control seems like missed his brains bummer,2
18688,user ve never seen anyone talk like that on twitter before and ve seen some really messed up shit,2
82685,user psychotic liberals fake media amp rinos are walking on thin ice when they forget that real americans the ones who put trump in the white house will never allow them to take him out of the white house btw thanks for this insures we will vote we are sick of dc,2
11581,user user user user user this is the violent liberal antifa party now they try to convince us they they have heart and some woman is knocking our men there go around with kkk hoods beating up strangers amp wrecking our towns most violent corrupt party ever,2
57096,user one added me to liberals like to slaughter last month that was fun,2
47088,user user user user user user the democratic party won do anything to him because he muslim brotherhood amp they don care about monahan the muslim brotherhood needs to be declared terrorist organization all of it ellison also supports antifa these people are so foul it scary,2
52719,user user the dems have done this since they were the kkk except back then they accused black men of raping white women then lynched them same play from the old playbook everyone of these liberals crying outrage are fake if they are not pressuring ellison to resign,2
40489,user nah antifa are good to get killed,2
24283,user user nope it clear and you are lying also every accusation against known child molester was true conservatives love apists,2
