,text,target
0,@USER She should ask a few native Americans what their take on this is.,0.0
1,@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL,1.0
3,"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂""",0.0
5,@USER Liberals are all Kookoo !!!,1.0
6,@USER @USER Oh noes! Tough shit.,0.0
7,@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,1.0
9,@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,1.0
12,@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,1.0
19,@USER @USER @USER gun control! That is all these kids are asking for!,1.0
20,@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL,1.0
22,@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?,1.0
23,@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔,1.0
25,@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..,1.0
29,@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?,0.0
32,The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK,1.0
36,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL,1.0
37,@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke,1.0
54,4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???,1.0
57,@USER Fuck off,1.0
59,"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""""",1.0
60,@USER @USER She is useless.  Attempts to do the right thing but never follows through.,1.0
62,@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.,1.0
64,@USER Trump kicks dem butt - its so fun.,1.0
65,@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.,1.0
68,@USER And this from the clown that should be in prison?,1.0
70,@USER Thats because you are an old man.,1.0
71,@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!,1.0
74,@USER I mean it worked for gun control right? URL,1.0
83,@USER She is drinking so much koolaid she’s bloated.,1.0
86,@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!,1.0
89,WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL,1.0
94,@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!,1.0
106,@USER Fuck em,1.0
107,@USER Good move....he is the big loser,1.0
